Time,T,P,Ia,Ambient_humidity,Ambient_temperature
2024/3/1 0:00,18.60000038,0,0,67.42,13.05
2024/3/1 0:01,18.60000038,0,0,67.19,13.1
2024/3/1 0:02,18.39999962,0,0,67.01,13.1
2024/3/1 0:03,18.39999962,0,0,66.94,13.1
2024/3/1 0:04,18.39999962,0,0,67.19,13.05
2024/3/1 0:05,18.39999962,0,0,67.44,13
2024/3/1 0:06,18.39999962,0,0,67.28,13
2024/3/1 0:07,18.39999962,0,0,67.06,13
2024/3/1 0:08,18.39999962,0,0,67.24,13
2024/3/1 0:09,18.39999962,0,0,67.08,13
2024/3/1 0:10,18.39999962,0,0,66.97,13
2024/3/1 0:11,18.39999962,0,0,66.87,13
2024/3/1 0:12,18.39999962,0,0,67.11,13
2024/3/1 0:13,18.39999962,0,0,67.21,13
2024/3/1 0:14,18.39999962,0,0,67.43,12.9
2024/3/1 0:15,18.39999962,0,0,67.48,12.9
2024/3/1 0:16,18.20000076,0,0,67.56,12.9
2024/3/1 0:17,18.20000076,0,0,67.64,12.9
2024/3/1 0:18,18.20000076,0,0,67.67,12.9
2024/3/1 0:19,18.20000076,0,0,67.87,12.9
2024/3/1 0:20,18.20000076,0,0,67.87,12.9
2024/3/1 0:21,18.20000076,0,0,68.04,12.85
2024/3/1 0:22,18.20000076,0,0,68.14,12.8
2024/3/1 0:23,18.20000076,0,0,68.48,12.8
2024/3/1 0:24,18.20000076,0,0,68.74,12.7
2024/3/1 0:25,18.20000076,0,0,68.89,12.7
2024/3/1 0:26,18.20000076,0,0,69.15,12.6
2024/3/1 0:27,18.20000076,0,0,69.42,12.6
2024/3/1 0:28,18.20000076,0,0,69.69,12.55
2024/3/1 0:29,18,0,0,69.62,12.55
2024/3/1 0:30,18,0,0,69.58,12.6
2024/3/1 0:31,18,0,0,69.53,12.6
2024/3/1 0:32,18,0,0,69.37,12.6
2024/3/1 0:33,18,0,0,69.4,12.6
2024/3/1 0:34,18,0,0,69.6,12.6
2024/3/1 0:35,18,0,0,69.83,12.55
2024/3/1 0:36,18,0,0,69.81,12.55
2024/3/1 0:37,18,0,0,69.79,12.6
2024/3/1 0:38,17.79999924,0,0,69.87,12.6
2024/3/1 0:39,17.79999924,0,0,69.73,12.6
2024/3/1 0:40,17.79999924,0,0,69.72,12.6
2024/3/1 0:41,17.79999924,0,0,69.89,12.6
2024/3/1 0:42,17.79999924,0,0,70.15,12.5
2024/3/1 0:43,17.79999924,0,0,70.12,12.55
2024/3/1 0:44,17.79999924,0,0,70.18,12.5
2024/3/1 0:45,17.79999924,0,0,70.35,12.5
2024/3/1 0:46,17.79999924,0,0,70.46,12.5
2024/3/1 0:47,17.79999924,0,0,70.75,12.5
2024/3/1 0:48,17.79999924,0,0,70.94,12.4
2024/3/1 0:49,17.79999924,0,0,71.05,12.4
2024/3/1 0:50,17.60000038,0,0,71.26,12.4
2024/3/1 0:51,17.60000038,0,0,71.36,12.3
2024/3/1 0:52,17.60000038,0,0,71.48,12.3
2024/3/1 0:53,17.60000038,0,0,71.55,12.3
2024/3/1 0:54,17.60000038,0,0,71.37,12.3
2024/3/1 0:55,17.60000038,0,0,71.61,12.3
2024/3/1 0:56,17.60000038,0,0,72.01,12.2
2024/3/1 0:57,17.60000038,0,0,72.18,12.2
2024/3/1 0:58,17.39999962,0,0,72.35,12.2
2024/3/1 0:59,17.39999962,0,0,72.57,12.1
2024/3/1 1:00,17.39999962,0,0,72.9,12.1
2024/3/1 1:01,17.39999962,0,0,72.8,12.1
2024/3/1 1:02,17.39999962,0,0,72.71,12.1
2024/3/1 1:03,17.39999962,0,0,72.5,12.1
2024/3/1 1:04,17.39999962,0,0,72.53,12.1
2024/3/1 1:05,17.39999962,0,0,72.74,12.1
2024/3/1 1:06,17.39999962,0,0,72.87,12.05
2024/3/1 1:07,17.39999962,0,0,72.78,12.1
2024/3/1 1:08,17.39999962,0,0,72.6,12.1
2024/3/1 1:09,17.39999962,0,0,72.58,12.1
2024/3/1 1:10,17.39999962,0,0,72.51,12.1
2024/3/1 1:11,17.39999962,0,0,72.73,12.05
2024/3/1 1:12,17.39999962,0,0,72.86,12
2024/3/1 1:13,17.39999962,0,0,72.87,12
2024/3/1 1:14,17.39999962,0,0,72.83,12
2024/3/1 1:15,17.20000076,0,0,72.71,12
2024/3/1 1:16,17.20000076,0,0,72.66,12
2024/3/1 1:17,17.20000076,0,0,72.79,12
2024/3/1 1:18,17.20000076,0,0,72.99,12
2024/3/1 1:19,17.20000076,0,0,73.17,12
2024/3/1 1:20,17.20000076,0,0,73.28,11.9
2024/3/1 1:21,17.20000076,0,0,73.42,11.9
2024/3/1 1:22,17.20000076,0,0,73.61,11.9
2024/3/1 1:23,17.20000076,0,0,73.87,11.85
2024/3/1 1:24,17.20000076,0,0,73.94,11.8
2024/3/1 1:25,17.20000076,0,0,73.81,11.85
2024/3/1 1:26,17.20000076,0,0,73.69,11.9
2024/3/1 1:27,17,0,0,73.58,11.9
2024/3/1 1:28,17,0,0,73.54,11.9
2024/3/1 1:29,17,0,0,73.44,11.95
2024/3/1 1:30,17,0,0,73,12
2024/3/1 1:31,17,0,0,73.15,12
2024/3/1 1:32,17,0,0,73.39,11.95
2024/3/1 1:33,17,0,0,73.3,12
2024/3/1 1:34,17,0,0,72.85,12.05
2024/3/1 1:35,17,0,0,72.58,12.1
2024/3/1 1:36,17,0,0,72.57,12.1
2024/3/1 1:37,17,0,0,72.6,12.1
2024/3/1 1:38,16.79999924,0,0,72.6,12.1
2024/3/1 1:39,16.79999924,0,0,72.33,12.15
2024/3/1 1:40,16.79999924,0,0,72.07,12.2
2024/3/1 1:41,16.79999924,0,0,71.93,12.2
2024/3/1 1:42,16.79999924,0,0,71.79,12.25
2024/3/1 1:43,16.79999924,0,0,72.12,12.2
2024/3/1 1:44,16.79999924,0,0,72.33,12.1
2024/3/1 1:45,16.79999924,0,0,72.53,12.1
2024/3/1 1:46,16.79999924,0,0,72.93,12.05
2024/3/1 1:47,16.79999924,0,0,73.19,12
2024/3/1 1:48,16.79999924,0,0,73.12,12
2024/3/1 1:49,16.79999924,0,0,73.21,12
2024/3/1 1:50,16.79999924,0,0,73.24,12
2024/3/1 1:51,16.79999924,0,0,73.36,11.95
2024/3/1 1:52,16.79999924,0,0,73.64,11.9
2024/3/1 1:53,16.79999924,0,0,73.81,11.9
2024/3/1 1:54,16.79999924,0,0,73.8,11.9
2024/3/1 1:55,16.79999924,0,0,73.96,11.8
2024/3/1 1:56,16.60000038,0,0,74.36,11.8
2024/3/1 1:57,16.60000038,0,0,74.48,11.7
2024/3/1 1:58,16.60000038,0,0,74.47,11.7
2024/3/1 1:59,16.60000038,0,0,74.19,11.75
2024/3/1 2:00,16.60000038,0,0,74.14,11.8
2024/3/1 2:01,16.60000038,0,0,74.51,11.75
2024/3/1 2:02,16.60000038,0,0,75.08,11.7
2024/3/1 2:03,16.60000038,0,0,75.3,11.6
2024/3/1 2:04,16.60000038,0,0,74.99,11.6
2024/3/1 2:05,16.60000038,0,0,74.87,11.7
2024/3/1 2:06,16.60000038,0,0,75.01,11.65
2024/3/1 2:07,16.60000038,0,0,75.23,11.6
2024/3/1 2:08,16.60000038,0,0,75.55,11.6
2024/3/1 2:09,16.60000038,0,0,75.47,11.55
2024/3/1 2:10,16.60000038,0,0,75.83,11.55
2024/3/1 2:11,16.60000038,0,0,76.26,11.5
2024/3/1 2:12,16.60000038,0,0,76.08,11.5
2024/3/1 2:13,16.60000038,0,0,75.82,11.5
2024/3/1 2:14,16.60000038,0,0,75.96,11.5
2024/3/1 2:15,16.60000038,0,0,75.98,11.5
2024/3/1 2:16,16.60000038,0,0,75.76,11.5
2024/3/1 2:17,16.60000038,0,0,75.82,11.5
2024/3/1 2:18,16.60000038,0,0,75.66,11.5
2024/3/1 2:19,16.60000038,0,0,75.66,11.5
2024/3/1 2:20,16.60000038,0,0,75.54,11.6
2024/3/1 2:21,16.60000038,0,0,75.5,11.6
2024/3/1 2:22,16.60000038,0,0,75.53,11.6
